"","id","datetime","user","text","date","hour"
"1","392328611069308928",2013-10-21 12:36:00,"NCCRCG","If you're in Boston, come visit NCC at #ASHG2013! We'll be showcasing the new ACMG ACT Sheet Mobile App!",2013-10-21,12
"2","392328722361376768",2013-10-21 12:37:00,"athos10025","MK: ID'ing SNPs that can flip gene expression patterns from off>on or vice versa #DiscoSympASHG #ASHG2013",2013-10-21,12
"3","392329120509480960",2013-10-21 12:38:00,"appistry","@pathogenomenick We can't wait. We'll be at booth 431 at #ASHG2013 -- Hope to see you there!",2013-10-21,12
"4","392329444448555008",2013-10-21 12:40:00,"athos10025","MK: Many SNPs in Alzheimers cases are also Methyl-QTLs which affect enhancer functions #DiscoSympASHG #ASHG2013",2013-10-21,12
"5","392329570612826112",2013-10-21 12:40:00,"appistry","@Ellie_C_Venezia We will be there at booth 431. Stop by! #ASHG2013",2013-10-21,12
"6","392330352301068288",2013-10-21 12:43:00,"erinhunt81","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,12
"7","392331833297231872",2013-10-21 12:49:00,"mwilsonsayres","I'll  be moderating (Wed 2-4:15) & presenting (poster 1990F 10:30a Fri) at #ASHG2013. Anyone interested in informal tweetup: lunch on Thurs?",2013-10-21,12
"8","392331946719981568",2013-10-21 12:49:00,"NowOverAndOut","trying to finish up analyses before leaving for my 1st #ASHG2013 -All previously attended meetings were Chemistry-centric. #excitement",2013-10-21,12
"9","392332826190032896",2013-10-21 12:53:00,"BeEngelhardt","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,12
"10","392335227432873984",2013-10-21 13:03:00,"GeneticsSociety","Have you read the Know Before you Go checklist for #ASHG2013? http://bit.ly/1c28nUx",2013-10-21,13
"11","392335991312109568",2013-10-21 13:06:00,"BiolineUSA","Stop by #booth707 @ #ASHG2013 for your #thermusaquaticus t-shirt! http://conta.cc/1fCW8OX",2013-10-21,13
"12","392336650707013632",2013-10-21 13:08:00,"erlichya","#ASHG2013 is 8x more popular than #ASHG13. Majority Rule. I am going to use #ASHG2013 for my tweets. #textAnalysis http://t.co/hMwDsUmtqU",2013-10-21,13
"13","392338663264497664",2013-10-21 13:16:00,"BioBM","Exhibiting at #ASHG2013? Here's the key for exhibitors to have a more productive & successful conference: http://biobm.com/SaC",2013-10-21,13
"14","392340347948257280",2013-10-21 13:23:00,"cshperspectives","So #ASHG2013 is deemed the hashtag for the ASHG meeting MT @erlichya: #ASHG2013 is 8x more popular than #ASHG13 http://t.co/FpzZjJqqZ8",2013-10-21,13
"15","392342108444450816",2013-10-21 13:30:00,"NEBiolabs","Register for our luncheon workshop on 10/25: NEBNext®: Sample Prep for Next Gen Sequencing at #ASHG2013 http://www.neb.com/ashg2013",2013-10-21,13
"16","392342459935490048",2013-10-21 13:31:00,"athmapai","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,13
"17","392342699484803072",2013-10-21 13:32:00,"ZymoResearch","Heading to #ASHG2013? So are we! Our scientists will be @ Booth 307 on 10/23-10/25. Don't miss out- there will be sample kits and giveaways!",2013-10-21,13
"18","392342905215401984",2013-10-21 13:33:00,"PrevGenetics","Stop by booth 1044 at #ASHG2013 for a chance to win the new iPAD 5!  Mention this tweet to double your chances!",2013-10-21,13
"19","392344074768093184",2013-10-21 13:38:00,"Mermaidkim","RT @athos10025: Manolis Kellis: Using large datasets to study complex traits  #DiscoSympASHG #ASHG2013",2013-10-21,13
"20","392344103813644288",2013-10-21 13:38:00,"Mermaidkim","RT @athos10025: MK: functional genetic regions marked by methylation patterns #DiscoSympASHG #ASHG2013",2013-10-21,13
"21","392344373566111744",2013-10-21 13:39:00,"Mermaidkim","RT @athos10025: MK: 100+ complete epigenomes used to find regulatory motifs #DiscoSympASHG #ASHG2013",2013-10-21,13
"22","392344395963715584",2013-10-21 13:39:00,"Mermaidkim","RT @athos10025: MK: 6/18 variants found in SLE cases found in regulatory motifs #DiscoSympASHG #ASHG2013",2013-10-21,13
"23","392344567498170368",2013-10-21 13:40:00,"athos10025","Nazneen Rahman: Using NGS to transform predisposition to cancer diagnosis #DiscoSympASHG #ASHG2013",2013-10-21,13
"24","392344585726611456",2013-10-21 13:40:00,"Mermaidkim","RT @athos10025: MK: ID'ing SNPs that can flip gene expression patterns from off>on or vice versa #DiscoSympASHG #ASHG2013",2013-10-21,13
"25","392345244689510400",2013-10-21 13:42:00,"Mermaidkim","RT @athos10025: Nazneen Rahman: Using NGS to transform predisposition to cancer diagnosis #DiscoSympASHG #ASHG2013",2013-10-21,13
"26","392345250347642880",2013-10-21 13:42:00,"athos10025","NR: 100+ genes with clinical utility in ~38 cancers; Negative test also has value #DiscoSympASHG #ASHG2013",2013-10-21,13
"27","392346823958224896",2013-10-21 13:49:00,"athos10025","NR: Hope is that every cancer patient has access to genetic testing #DiscoSympASHG #ASHG2013",2013-10-21,13
"28","392347088543305728",2013-10-21 13:50:00,"Affymetrix","Going to #ASHG2013! What are the first sessions you registered for? Haven't registered yet? Do it now:... http://fb.me/6rbq6iv3o",2013-10-21,13
"29","392348255809314816",2013-10-21 13:54:00,"bionanogenomics","Ready for #ASHG2013? Three must see posters on finding human SVs w/Irys: 10:30a on Wed (569W) & @UCSFMedicine 10:30a on Thurs (561T, 1531T)",2013-10-21,13
"30","392348276869308416",2013-10-21 13:54:00,"athos10025","NR: TruSight Cancer panel - 97 clinically relevant cancer genes #DiscoSympASHG #ASHG2013",2013-10-21,13
"31","392348457769639936",2013-10-21 13:55:00,"athos10025","NR: TruSight Cancer panel analysis - 21 hours to process 96 samples  #DiscoSympASHG #ASHG2013",2013-10-21,13
"32","392349011749109760",2013-10-21 13:57:00,"athos10025","NR: require 50X coverage minimum per base  #DiscoSympASHG #ASHG2013",2013-10-21,13
"33","392349991806992384",2013-10-21 14:01:00,"sebhtml","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,14
"34","392350107951452160",2013-10-21 14:02:00,"athos10025","NR: 384 samples; 376 passed sample QC; 90% targets covered >50X #DiscoSympASHG #ASHG2013",2013-10-21,14
"35","392350330039836672",2013-10-21 14:03:00,"NateraPrenatal","Don’t forget to RSVP to our lunch about @PanoramaTest on 10/23 at #ASHG2013. Email rsamaroo@natera.com to save your spot! @GeneticsSociety",2013-10-21,14
"36","392350801785794560",2013-10-21 14:04:00,"daniel2nico","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,14
"37","392350935588286464",2013-10-21 14:05:00,"athos10025","NR: 100% sensitivity of BRCA1 and 2 #DiscoSympASHG #ASHG2013",2013-10-21,14
"38","392351150487638016",2013-10-21 14:06:00,"athos10025","NR: The more samples you have, the more the benefit of moving from Sanger to NGS #DiscoSympASHG #ASHG2013",2013-10-21,14
"39","392351505074098176",2013-10-21 14:07:00,"JeffreyMOtto","Excited to be in #BOSTON for #ASHG2013. Gonna learn what's new in #personalizedmedicine. #CHICTR http://t.co/WVIxSdUxWH",2013-10-21,14
"40","392352573669117952",2013-10-21 14:11:00,"appistry","Thanks for sharing! RT@GeneticsSociety Have you read the Know Before you Go checklist for #ASHG2013? http://bit.ly/1c28nUx",2013-10-21,14
"41","392352618905096192",2013-10-21 14:12:00,"athos10025","Nikolas Papodopoulos: Cancer Genomes and their Clinical Implications #DiscoSympASHG #ASHG2013",2013-10-21,14
"42","392352762207297536",2013-10-21 14:12:00,"jxchong","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,14
"43","392352810911555584",2013-10-21 14:12:00,"razibkhan","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,14
"44","392352925542264832",2013-10-21 14:13:00,"alinastob","RT @obahcall: #ASHG2013 Publications workshop: hear how to publish your work from @AJHGNews & few guest editors, spots still open http://t.co/dBN0JzTUKL",2013-10-21,14
"45","392353098565701632",2013-10-21 14:14:00,"wateresa","RT @athos10025: Nikolas Papodopoulos: Cancer Genomes and their Clinical Implications #DiscoSympASHG #ASHG2013",2013-10-21,14
"46","392354168783896576",2013-10-21 14:18:00,"dgermain21","RT @mbeisen: .@lpachter on undocumented methods and inefficient data use in NIH human genomics project http://liorpachter.wordpress.com/2013/10/21/gtex/ #ASHG2013",2013-10-21,14
"47","392354511810854912",2013-10-21 14:19:00,"EncodeDCC","Wonder how your favorite gene is regulated? Find out how #ENCODE data can help at our workshop during #ASHG2013: http://qoo.ly/9cx5",2013-10-21,14
