"","id","datetime","user","text","date","hour"
"1","309006742094741504",2013-03-05 13:25:00,"ratti_fernanda","RT @genetics_blog: Recent advances in viral #metagenomics http://www.ncbi.nlm.nih.gov/pubmed/23450659",2013-03-05,13
"2","309008148113530880",2013-03-05 13:30:00,"ctitusbrown","@jmichaethompson Contact: metagenomics.",2013-03-05,13
"3","309008685416472576",2013-03-05 13:33:00,"ctitusbrown","@jmichaethompson Err: context of NO BLAST: metagenomics.",2013-03-05,13
"4","309009125516382208",2013-03-05 13:34:00,"metagenomics","#microbiome Animal Care Ethics in Citizen Science: My Conundrum - Scientific American (blog) http://ow.ly/2vhgiM",2013-03-05,13
"5","309012223056035840",2013-03-05 13:47:00,"DaniloErcolini","RT @genetics_blog: Recent advances in viral #metagenomics http://www.ncbi.nlm.nih.gov/pubmed/23450659",2013-03-05,13
"6","309014951660494848",2013-03-05 13:58:00,"luhugerth","RT @ctitusbrown: Eric Wommack: studying viral ecology may be *the single best* application of shotgun metagenomics evah, going forward.",2013-03-05,13
"7","309022734376112128",2013-03-05 14:28:00,"metagenomics","#microecology Allen Family Foundation grants Gore $1.5 million for research - MIT News http://ow.ly/2vhkZs",2013-03-05,14
"8","309022734464196608",2013-03-05 14:28:00,"metagenomics","#microbiome Franklin Award Nominees Announced, Judging Open - Bio-IT World http://ow.ly/2vhkZr",2013-03-05,14
"9","309033924552699904",2013-03-05 15:13:00,"sgourley","Comparing Sequence Classification Algorithms for Metagenomics http://prsm.tc/qdjZo1 via @prismatic",2013-03-05,15
"10","309053868388532224",2013-03-05 16:32:00,"amfoes","#PLOSBiology: Can You Sequence Ecology? Metagenomics of Adaptive Diversification http://dx.plos.org/10.1371/journal.pbio.1001487",2013-03-05,16
"11","309059276297625600",2013-03-05 16:54:00,"BrotarBiotech","RT @genetics_blog: Recent advances in viral #metagenomics http://www.ncbi.nlm.nih.gov/pubmed/23450659",2013-03-05,16
